Country,2017CO2Emissions,PercentofWorldEmissions,PerCapitaEmissions,GDP(US$Million)
Serbia & Montenegro,62.487,0.17%,6.6,7656.0
Seychelles,0.968,0.00%,10.2,10767.0
Sierra Leone,1.309,0.00%,0.2,475.0
Singapore,55.018,0.15%,9.6,58114.0
Slovakia,37.855,0.10%,6.9,19264.0
Slovenia,15.209,0.04%,7.3,25777.0
Solomon Islands,0.146,0.00%,0.2,2251.0
Somalia,0.927,0.00%,0.1,118.0
South Africa,467.654,1.26%,8.2,5094.0
South Korea,673.324,1.82%,13.2,31947.0
Spain Andorra,282.364,0.76%,6.1,27409.0
Sri Lanka,23.978,0.06%,1.1,3768.0
Sudan South Sudan,21.056,0.06%,0.4,1415.0
Suriname,2.213,0.01%,3.9,7023.0
Sweden,50.874,0.14%,5.1,53575.0
Switzerland Liechtenstein,39.738,0.11%,4.7,86919.0
Syria,28.377,0.08%,1.6,890.0
Taiwan,279.74,0.75%,11.8,28383.0
Tajikistan,5.699,0.02%,0.6,838.0
Tanzania,14.65,0.04%,0.3,1115.0
Thailand,279.296,0.75%,4.0,7189.0
The Gambia,0.554,0.00%,0.3,757.0
Togo,2.843,0.01%,0.4,863.0
Tonga,0.136,0.00%,1.3,4646.0
Trinidad and Tobago,37.745,0.10%,27.6,15286.0
Tunisia,31.63,0.09%,2.7,3318.0
Turkey,429.563,1.16%,5.3,8538.0
Turkmenistan,72.474,0.20%,12.6,7104.0
Turks and Caicos Islands,0.165,0.00%,4.7,23881.0
Uganda,5.042,0.01%,0.1,846.0
Ukraine,205.723,0.55%,4.7,3557.0
United Arab Emirates,202.802,0.55%,21.6,36285.0
United Kingdom,379.15,1.02%,5.7,40718.0
United States,5107.393,13.77%,15.7,63123.0
Uruguay,6.93,0.02%,2.0,15438.0
Uzbekistan,95.35,0.26%,3.0,1724.0
Vanuatu,0.091,0.00%,0.3,2783.0
Venezuela,145.877,0.39%,4.6,3740.0
Vietnam,218.729,0.59%,2.3,2786.0
Yemen,12.503,0.03%,0.4,937.0
Zambia,4.967,0.01%,0.3,985.0
Zimbabwe,12.087,0.03%,0.7,1466.0
