Country,2017CO2Emissions,PercentofWorldEmissions,PerCapitaEmissions,GDP(US$Million),PerCapitaGDP(Thousands),EnergyConsumptionPerCapita(Watts),KilowattsPerCapita
Slovenia,15.209,0.04,7.3,25777,25.78,4424.6,4.42
South Africa,467.654,1.26,8.2,5094,5.09,3536,3.54
South Korea,673.324,1.82,13.2,31947,31.95,6994.5,6.99
Spain Andorra,282.364,0.76,6.1,27409,27.41,3333.6,3.33
Sri Lanka,23.978,0.06,1.1,3768,3.77,649.1,0.65
Sweden,50.874,0.14,5.1,53575,53.58,6832.1,6.83
Switzerland Liechtenstein,39.738,0.11,4.7,86919,86.92,4399,4.40
Syria,28.377,0.08,1.6,890,0.89,889.6,0.89
Tajikistan,5.699,0.02,0.6,838,0.84,403.1,0.40
Tanzania,14.65,0.04,0.3,1115,1.12,625.4,0.63
Thailand,279.296,0.75,4,7189,7.19,2646.3,2.65
Togo,2.843,0.01,0.4,863,0.86,615.9,0.62
Trinidad and Tobago,37.745,0.1,27.6,15286,15.29,19355.3,19.36
Tunisia,31.63,0.09,2.7,3318,3.32,1273.5,1.27
Turkey,429.563,1.16,5.3,8538,8.54,2034.6,2.03
Turkmenistan,72.474,0.2,12.6,7104,7.10,6672.5,6.67
Ukraine,205.723,0.55,4.7,3557,3.56,3399.3,3.40
United Arab Emirates,202.802,0.55,21.6,36285,36.29,10239.8,10.24
United Kingdom,379.15,1.02,5.7,40718,40.72,3964.5,3.96
United States,5107.393,13.77,15.7,63123,63.12,9207.8,9.21
Uruguay,6.93,0.02,2,15438,15.44,1798.1,1.80
Uzbekistan,95.35,0.26,3,1724,1.72,1889.9,1.89
Venezuela,145.877,0.39,4.6,3740,3.74,3023.9,3.02
Vietnam,218.729,0.59,2.3,2786,2.79,888.9,0.89
Yemen,12.503,0.03,0.4,937,0.94,431,0.43
Zambia,4.967,0.01,0.3,985,0.99,840.7,0.84
Zimbabwe,12.087,0.03,0.7,1466,1.47,1008.6,1.01
